,location.postalCode,location.lat,location.lng,categories
112,M6A,43.72175787416223,-79.46633721148682,Furniture / Home Store
113,M6A,43.719223638124674,-79.46815001244204,Automotive Shop
114,M6A,43.72152058924993,-79.46651849319372,Automotive Shop
115,M6A,43.718259422554496,-79.46810606617575,Clothing Store
116,M6A,43.719868162753514,-79.46009650777746,High School
117,M6A,43.719024658203125,-79.469970703125,Arcade
118,M6A,43.718302214160644,-79.4628004266575,Daycare
119,M6A,43.72197507668504,-79.46593619310552,Women's Store
120,M6A,43.719734,-79.469831,Warehouse
121,M6A,43.720338368301796,-79.46709529624252,Church
122,M6A,43.71677614916025,-79.46167716204125,Athletics & Sports
123,M6A,43.71922345057045,-79.46839720979776,Athletics & Sports
0,M7A,43.663412609978735,-79.38951436064394,Government Building
1,M5S,43.66215942544592,-79.38948154449463,Sculpture Garden
2,M5G,43.660304,-79.389382,Library
3,M5R,43.66394609897775,-79.39217952520835,Park
4,M5S,43.662105560302734,-79.38953399658203,Garden
5,M7A,43.66198724021906,-79.39131636439286,Capitol Building
6,M5S,43.66216101230518,-79.38814953980634,Light Rail Station
7,M5S,43.66162,-79.387636,Sushi Restaurant
8,M5S,43.66161,-79.387634,Medical Center
9,M7A,43.663628105509176,-79.38890892365052,Office
10,M7A,43.66352173469549,-79.38774268295636,Government Building
11,M5S,43.660957912857185,-79.39011782200485,Government Building
12,M5S,43.66181736620239,-79.39177818392034,College Academic Building
13,M5S,43.66324982937065,-79.38807806508385,Building
14,M5S,43.66162,-79.387636,Restaurant
15,M5S,43.66162,-79.387636,Smoothie Shop
16,M7A,43.661196993004666,-79.38969612121582,Office
17,M5S,43.661369862554835,-79.38766021175518,Sandwich Place
18,M5S,43.661469,-79.387805,Medical Center
19,M5S,43.66145766668674,-79.39133285798712,Monument / Landmark
20,M5S,43.661514,-79.387085,Massage Studio
21,M5S,43.66229767427558,-79.38695645451529,Capitol Building
22,M5S,43.661671283465125,-79.39049168093005,Historic Site
23,M5S,43.66163,-79.38734,Thai Restaurant
24,M5S,43.660921,-79.3882155418396,Music Store
26,M5S,43.661659240722656,-79.38768005371094,Café
27,M5S,43.661613,-79.38791,Medical Lab
28,M7A,43.66280610554311,-79.38921065803761,Government Building
29,M7a,43.662736112927085,-79.38846842635702,Government Building
30,M5S,43.6632117940897,-79.38806157090927,Cafeteria
31,M5S,43.66439945406483,-79.386478116461,Capitol Building
32,M5S,43.66372550213858,-79.38879280982403,Bike Rental / Bike Share
33,M5S,43.661196993004666,-79.38883781433105,Medical Center
35,M5S,43.661201887438835,-79.38896324813904,Government Building
36,M5S,43.661655,-79.386745,Medical Center
37,M5S,43.66165397361437,-79.38729733759675,Convenience Store
38,M5S,43.664169937424724,-79.38827756576491,Arts & Entertainment
40,M7A,43.662346,-79.38695,Hospital
41,M5S,43.66289811655332,-79.39096450034803,General Entertainment
42,M5S,43.66210609468257,-79.38652535050106,Building
43,M5S,43.660841790706236,-79.38539380530176,Building
44,M5S,43.661809968409244,-79.39137602480191,Restaurant
45,M5S,43.66219782050695,-79.38670730229549,Building
46,M5S,43.6642585579444,-79.38868089155856,High School
48,M6K,43.662646496592544,-79.38691489619562,Indie Movie Theater
50,M5S,43.66378714912873,-79.39072809094115,College Library
51,M5S,43.66305578432305,-79.38836946168304,Government Building
52,M5S,43.66157573126396,-79.38879830783908,Doctor's Office
55,M5S,43.663878260127994,-79.39072259304078,College Library
56,M5S,43.6617964078655,-79.39080506151205,Office
57,M5S,43.66224835926275,-79.39140433019492,Coffee Shop
58,M5S,43.660853,-79.390952,Electronics Store
59,M5S,43.66144,-79.3876566,Doctor's Office
60,M7A,43.66327461673162,-79.3878031617905,Government Building
